TITOLO,ISSN,Area 08,Area 10,Area 11,Area 12,Area 13,Area 14,08/C1,08/D1,08/E1,08/E2,08/F1,10/A1,10/B1,10/C1,10/D1,10/D2,10/D3,10/D4,10/E1,10/F1,10/F2,10/F3,10/F4,10/G1,10/H1,10/I1,10/L1,10/M1,10/M2,10/N1,10/N3,11/A1,11/A2,11/A3,11/A4,11/A5,11/B1,11/C1,11/C2,11/C3,11/C4,11/C5,11/D1,11/D2,12/A1,12/B1,12/B2,12/C1,12/C2,12/D1,12/D2,12/E1,12/E2,12/E3,12/E4,12/F1,12/G1,12/G2,12/H1,12/H2,12/H3,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4,14/A1,14/A2,14/B1,14/B2,14/C1,14/C2,14/C3,14/D1
ACTA NOVA,1683-0768,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA PHOTOGRAPHICA,1724-9821,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA TECHNICA CORVININESIS,2067-3809,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVA DESIGN MANAGEMENT,1591-4135,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUM LUCE,0391-9994,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD. ARCHITECTURAL DIGEST,1123-9719,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIATICO / JADRAN,1828-5775,S,S,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADUEARCHITETTURA,2036-8747,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED MATERIALS,0935-9648,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED MATERIALS RESEARCH,1022-6680,‡(2020),,,,,,‡(2020),‡(2020),‡(2020),‡(2020),‡(2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
